-	Kidney	Heart	Ovary	Brain	Breast	Thyroid	Blood	Leukocyte	Testis	Prostate	Liver	Muscle	Adipose	Lung	Temporal gyrus	Skin	Keratinocyte	Bladder	Bone marrow	Intestine	Stomach	Placenta	Pancreas	Cerebral cortex	B-cell	Prefrontal cortex	Thymus	Melanocyte	Epithelial	Frontal lobe	Cerebellum	Temporal lobe	Frontal cortex	T-cell	Monocyte	Neutrophil	Forebrain	Basal cell	Granulocyte	Pancreatic islet	Cervix	Midbrain	Erythroblast	Parietal lobe	Hippocampus	Leukocyt	NK-cell
GENE0	0.08599448476214983	0.36944966986735084	0.4003610133845308	0.3410113109881522	0.39159813692377776	0.1995854369487896	0.16483767841037728	0.35301721373607026	0.1225012629680589	0.011238918430285112	0.28215851014835835	0.20329977786121856	0.06199495617143036	0.3471086263549982	0.05462258643719978	0.30152406514292635	0.06386705526225943	0.3922425663613219	0.060475268327176694	0.46590052477782623	0.23871065423918408	0.15165303790186016	0.19968120561329694	0.08668838679095278	0.40418753985232986	0.028914532872309807	0.04939187051762301	0.06331867650736897	0.13168707597119345	0.28482373502792613	0.3073023744317823	0.35372488321461404	0.21898580285416275	0.47865036960528196	0.4409359996483658	0.143388058806328	0.27524027094409753	0.46792433137691236	0.05088768220217085	0.11273580663970056	0.43130989346944143	0.32621190988153426	0.4466470812506227	NaN	NaN	0.20774449108797083	0.12236364066320321
GENE1	0.1567616977949538	0.21157490773856502	0.49961417965645905	0.49099187764398305	0.36298500493870073	0.06951135729810523	0.35025658505309726	0.049184284543252736	0.08980207943702452	0.3228642235308872	0.0672972775719865	0.007176314980981429	0.4088844677718651	0.016940402019862823	0.2689790560895172	0.4202154676435791	0.08539665371685894	0.4303135610359372	0.13069398075917427	0.16417654410828741	0.03430159884524382	0.0889447776824979	0.2106749909784857	0.29517952154985483	0.34175476411944644	0.29442422552936165	0.3879387490078615	0.1498708757905238	0.024457610719210706	0.02669745023701348	0.2275951763810231	0.2599958574258	0.4856642198317008	0.3061470587533275	0.2897493315882793	0.28094872315957653	0.034311265385102103	0.022576501659792643	0.05982166240878345	0.48417043094209095	0.04371535576102615	0.3909778962062282	0.4872047864360752	NaN	NaN	0.2820574906484433	0.28602418318577316
GENE2	0.28343513712081253	0.044400639012380914	0.38729597703069457	0.20183198105838784	0.30313592074388573	0.17304749292246957	0.17591652490278625	0.32037880048741363	0.07010414337573596	0.06549468954597798	0.49717945168888955	0.04778854301263505	0.23037882597470777	0.47086423304403335	0.03778157383234274	0.32454539162787627	0.3867871263782808	0.21778352307128124	0.15231044578762928	0.28814219030470517	0.0934423263189432	0.05633040047924901	0.27035687982066975	0.13828677458124317	0.24160528424166278	0.23985770531865025	0.08877874730143531	0.04263064744421105	0.21126688710964875	0.2761427147113046	0.24782628961925596	0.12753560939449562	0.02288209134530271	0.4383872343896924	0.4309260938972926	0.31653938429192174	0.4321738879365343	0.33662553452579214	0.03138102415137703	0.213977975692433	0.11999047056189928	0.2133898714704222	0.3349923046706998	NaN	NaN	0.18065098999794388	0.03120144327997249
GENE3	0.21590967321199867	0.4770198371459219	0.35819422438671283	0.05652672732310905	0.06998978427415506	0.30759843310494017	0.36171892865190114	0.23240988433736148	0.17365193650600091	0.437808838500081	0.14080339539034198	0.36126614148248615	0.26374669770628756	0.07967416629164858	0.36923291062780583	0.2817219564193765	0.373217694785993	0.3658038415745068	0.12816282696824585	0.3949230264974946	0.052470161989575465	0.22993962804421786	0.2614445547286459	0.01947731024325698	0.18014605030716901	0.10876792368922103	0.02821905587180499	0.12467417316541207	0.2826646566991007	0.0006797895116790809	0.021641480586070506	0.21790502756294833	0.20805092021674698	0.05179367228212164	0.057958710816813384	0.25884580001921437	0.10706328551123749	0.0968773464034598	0.3113121415593281	0.41442658493341566	0.4807952666064216	0.21126224778854719	0.3687181607681983	NaN	NaN	0.2579680153493906	0.03549133836034011
GENE4	0.2053101819312393	0.2141130188503122	0.3738627424461539	0.09887006915668443	0.4402705739007005	0.2347690813006385	0.15959196167538742	0.22768781458560783	0.48007451322436817	0.27833996333358	0.2022128080813808	0.3004380645354363	0.12817434803157543	0.07195499988708767	0.2308163996771277	0.07946004641013496	0.4438493212383133	0.28360972152080266	0.21382646536028604	0.31435711252267096	0.31865552202687364	0.2737791659106009	0.2684840237451645	0.07136186773329621	0.2233230611980795	0.14473749946060388	0.11386457912094759	0.4068617432908313	0.4700673177734031	0.3117316950288013	0.27616066286591945	0.29208636196171944	0.09046187891813498	0.1712246804820043	0.4319985431452741	0.20915861121323676	0.18113226251395836	0.12058375070731818	0.06850011458824991	0.148333078246923	0.13919897046925475	0.18230042955069636	0.4771431652207461	NaN	NaN	0.16165220074370457	0.37615326041320396
GENE5	0.27366735581016416	0.036287044787843274	0.45160565420370397	0.058133606887149046	0.27089259847807134	0.4800339851743093	0.47651105178729836	0.4815565731305678	0.18093156008904793	0.3771248713079948	0.32395696737749397	0.18661491710045874	0.4947976490363336	0.4647653422124979	0.07305210279895984	0.38936308939527275	0.04817296422080707	0.23594768008436612	0.3623552105066078	0.2302671714858221	0.31195340535747185	0.47289080744729955	0.48474499846101265	0.44600647755377837	0.3666884642756608	0.43189632492389396	0.14308586461636957	0.3475727257866613	0.4448769114835422	0.13560722501890002	0.34775166737836605	0.3880318920141661	0.16464455017695828	0.46596866830611827	0.4753943145058637	0.37907855041445704	0.11081662459673755	0.2261011705457176	0.21604537340369484	0.41099794993707733	0.08814530380195472	0.44699608752445685	0.4659211557988139	NaN	NaN	0.20070151094219946	0.18748986176501203
GENE6	0.09830335156684365	0.4747247524668719	0.09193395819895006	0.11518733444347455	0.15112310750035166	0.07437402260320723	0.1337021593753754	0.4993800783832708	0.49227780531478366	0.19398892332675277	0.07669982332638337	0.431702219883924	0.13536729545168275	0.07352790790220463	0.47136687714517445	0.33935829708070264	0.1830829087771646	0.07116790350642917	0.469475288691585	0.48281574217169243	0.02756801094152551	0.47951776710981103	0.3429327285252034	0.49328612686116974	0.41737099356330515	0.08822824979571775	0.433612797965517	0.3263351180533717	0.09484113431328386	0.21202424607042575	0.34358332419065446	0.3832852180207955	0.26830752558223847	0.34185796052787676	0.22909266109575166	0.46192274344450407	0.304442281541496	0.3501604542606761	0.05716355839887077	0.14415649068958689	0.05802426003710644	0.06505101672452164	0.42387902223150836	NaN	NaN	0.26692534187017625	0.2385277693930964
GENE7	0.24879097379918874	0.03317766905578995	0.11469563722511261	0.1393869796957837	0.48987588181463076	0.02654008455221348	0.11685772068639451	0.03953163832345958	0.1418688808685942	0.49268007672840297	0.15439626259660627	0.4198707794978388	0.18471131201277796	0.3724116065429111	0.1480304451682458	0.16557783362106465	0.05180217215533669	0.12872254284532572	0.04372565501362754	0.03632739646974569	0.3389673873029141	0.09852830827354163	0.3451775704621045	0.17540327268276096	0.4309069758593913	0.07936026476054585	0.11852349878032889	0.42197067166773927	0.18064873004052	0.25532868727717095	0.14774394186011117	0.3469540238098363	0.13661670999685396	0.2106782270804599	0.18117670710638073	0.07076154620018218	0.1918889698437013	0.07007903790100453	0.10029665209795573	0.0884327496797773	0.33081315351005347	0.04659612793465118	0.3928828560583994	NaN	NaN	0.06345126926755204	0.13071402055575054
GENE8	0.41060789070290377	0.34186494574353954	0.48767727387976095	0.19152264235642447	0.32373715011768245	0.08568177739316958	0.40041778154086616	0.024527677666280383	0.015518557673944618	0.36200013775546347	0.032412601821880944	0.24263757976224615	0.2686129037527849	0.07773282515063566	0.11744886997193996	0.12772172678532376	0.14774721339238545	0.3526381729061895	0.2180577389944579	0.4656494220355709	0.02951925044286561	0.36431772911747695	0.2993025458270039	0.28934416438273414	0.3283861234420409	0.32618513589364406	0.10180065211796997	0.4784478902496168	0.2042037876792389	0.18610934208838498	0.057107470776729355	0.3883862470402706	0.2676297808398118	0.012845107240576893	0.05578563900947448	0.4498778172953479	0.3537921229319519	0.43650444392941207	0.20580311770274468	0.4775789699213503	0.17578180822047818	0.1883070053760177	0.01997482656750218	NaN	NaN	0.24979237543796035	0.23895500010127257
GENE9	0.4517736066831881	0.4931250045665776	0.15974429826683317	0.17398241362063632	0.4050778256226877	0.05976712272323848	0.09735898846407635	0.12092000294384825	0.215876492158801	0.01031058020753473	0.05450817737275479	0.28575830124040125	0.10633452359425212	0.27818153052245476	0.45704643206144135	0.31220247269039714	0.3183361902116033	0.4207928951132142	0.47013671946812396	0.45894422244372973	0.13064991084682734	0.29978709103248746	0.1485896131505204	0.28614687598065985	0.2493049171135871	0.12268840478438464	0.043320112925591715	0.24892122945858397	0.09815614944842467	0.11044101889462882	0.2791734295075221	0.24888060555513425	0.22606592941865117	0.42374544260712477	0.0021948036167347062	0.46611626521890004	0.2717172945174375	0.3532952117615041	0.24117761072298283	0.26423150366859965	0.29758518639660836	0.17815813706487083	0.2928975428880286	NaN	NaN	0.2751835717699244	0.15383524533889467
