-	Kidney	Heart	Ovary	Brain	Breast	Thyroid	Blood	Leukocyte	Testis	Prostate	Liver	Muscle	Adipose	Lung	Temporal gyrus	Skin	Keratinocyte	Bladder	Bone marrow	Intestine	Stomach	Placenta	Pancreas	Cerebral cortex	B-cell	Prefrontal cortex	Thymus	Melanocyte	Epithelial	Frontal lobe	Cerebellum	Temporal lobe	Frontal cortex	T-cell	Monocyte	Neutrophil	Forebrain	Basal cell	Granulocyte	Pancreatic islet	Cervix	Midbrain	Erythroblast	Parietal lobe	Hippocampus	Leukocyt	NK-cell
GENE0	0.2638448037356934	0.29083494445666774	0.31458973766629483	0.29207015400304714	0.29961511083987763	0.318479668622332	0.28957665177439296	0.29120971949314733	0.24611832979151316	0.29588341062951085	0.27513885450734926	0.291904916477078	0.2813017751676676	0.28278436286508574	0.30003898472733076	0.29458866114312504	0.3047283638135491	0.26368816665002853	0.2971680286742273	0.23662954897052768	0.28323485716900604	0.2989729308380694	0.24129246943354007	0.2931909217013055	0.28849916165063366	0.2937158347565033	0.23085023624506965	0.29964696596929125	0.2957625888136106	0.24407720004382452	0.28937462330910285	0.31577195102963723	0.26120016570957055	0.2919401315468535	0.2874812695756169	0.3487226723261956	0.3502678720363691	0.31182268998856305	0.08988317668988902	0.28262755188435895	0.42431171480220775	0.3405531933853812	0.29656890111953893	NaN	NaN	0.31375165148856143	0.33807784902439264
GENE1	0.3036465985686566	0.2844092446404764	0.3781547705425509	0.2918198738354704	0.2918739218187911	0.2933281583010935	0.29128673346328754	0.2842649307006854	0.2715044071341648	0.30267133344534086	0.28831472232274674	0.2882765358767046	0.2743423592886117	0.29988514840246244	0.2586154551501002	0.28074744510675353	0.27731289656868946	0.3197952615346351	0.29180740283189205	0.261158998969654	0.25157991803283625	0.29686012384838917	0.2533913908751341	0.22331735584067441	0.28105909340093743	0.2999247648917516	0.3615977042025045	0.21968810839289094	0.2914426983549311	0.23324828555841715	0.36614289567123387	0.3391708759455927	0.2403677403868001	0.2947746576946295	0.2802110970439467	0.21754530506695097	0.09321191172086815	0.306380915639105	0.23463793697579102	0.27434311739992306	0.17912928447140203	0.23201898581026573	0.2671247960611428	NaN	NaN	0.3398922744036678	0.27053681762255005
GENE2	0.28528040131416105	0.2933969617435347	0.3080818233609138	0.2893062968320821	0.2616107968687842	0.3117696214447712	0.2845614086093158	0.2822114405692324	0.2121493631532101	0.3097138540345575	0.3227484169357382	0.28228322587489324	0.2854401420220457	0.2875789132763176	0.2750552303908161	0.2857620108305771	0.3637264064813624	0.30197071439359074	0.318403843548097	0.30578266929968984	0.27883995567071224	0.2931727404161964	0.30510024999395324	0.2512128695725455	0.2760970590652503	0.27302076288814997	0.2350725780161106	0.2639670476938994	0.2879915987850204	0.29494303550562817	0.38272598841378097	0.3799537491199401	0.27409025640562257	0.2818896885006341	0.28880225307665713	0.2885811958959584	0.6396792465181749	0.2545755913951381	0.21152411389392498	0.27735038408207996	0.30911765144832987	0.2817676726632995	0.27775413631139595	NaN	NaN	0.32230375875530626	0.25171326751700374
GENE3	0.2986108145255338	0.2984788559788136	0.2823560684204362	0.2935942290163908	0.28896908644837715	0.2920228760478125	0.2884462092760134	0.2778214723724711	0.3325045808706307	0.28880072863974826	0.3004566656603317	0.2771412887173319	0.30824013177947285	0.26487840348752717	0.34149474905819743	0.28672511822979213	0.2729543048838528	0.27511196315662334	0.284999000753349	0.25259329401349967	0.3402373273774616	0.2809978389663499	0.24360954432606788	0.1954169547290714	0.2798353756308618	0.28362235228820903	0.14032372549600047	0.252702661686655	0.26924099903377896	0.0703210177138037	0.14810708267348505	0.22778056671446495	0.3298814955944512	0.29391667125083615	0.2938605370829969	0.2520711288520723	0.296300256785304	0.3029757023032757	0.2440102320522325	0.28584704187191023	0.06014268058284496	0.12084503399549458	0.2853759671583713	NaN	NaN	0.32934932727616906	0.17791668643930617
GENE4	0.29426500235331554	0.2759666740593718	0.34496831881210777	0.2901707559055957	0.29217195429197246	0.28201005613048735	0.2910203608547896	0.28341501105019856	0.2144970649046989	0.27478510753882635	0.298775911277972	0.2765485095207209	0.29577249297178926	0.28873560829110684	0.2672870246551293	0.28278900305698396	0.383760944173126	0.31316566226899323	0.29606615985341705	0.2794455418150604	0.28518334832096387	0.29078575262476486	0.34774826842878165	0.26177147291149316	0.29974666709699693	0.2755550324485748	0.1747260928861934	0.2754425095075207	0.2820211863032286	0.36719378576052486	0.45603340108181867	0.30803210456786423	0.30677796747809494	0.28491896127163935	0.299664833674333	0.2646180920529623	0.44023107586269533	0.28769549216137424	0.23156037826880962	0.2890611714988055	0.301954647523842	0.265097557440152	0.31320378294058515	NaN	NaN	0.3422099898518572	0.26094373789907693
GENE5	0.30518126796951117	0.3004486854510861	0.3279192539154501	0.28420830448725454	0.2765094744245791	0.2968302421197763	0.2854073767260084	0.27172684990473067	0.3008154449861004	0.27335499189488704	0.27484733606858475	0.2839250408145594	0.27624791788700526	0.29472884900836366	0.23199026320710023	0.28629664577265496	0.302792384250846	0.2940338493917755	0.29935579411501384	0.3134859678047747	0.29249522815154105	0.2881572639982228	0.3069687728333672	0.32074807982101533	0.2856879459458302	0.28046679313820316	0.3059146777189304	0.3192980060682681	0.32820550214406424	0.25813333401143396	0.23224395154810654	0.356566847506882	0.24875207495992138	0.2869191623722359	0.28077344225215184	0.3327143356171322	0.18036742206803058	0.3247841732089918	0.26341866066417824	0.2887854097941452	0.0005155361350820809	0.2684523312043893	0.29449472748757766	NaN	NaN	0.25948570449647573	0.2330582631734513
GENE6	0.29441197438919925	0.27067322604192806	0.30163098264371824	0.29408097107029707	0.2842482834084597	0.27992276263012816	0.29121678924333183	0.3060765424227821	0.355939502868957	0.29153737377625494	0.3034999023528353	0.28924200502492653	0.2746335469646761	0.28931805352976964	0.2902593826546572	0.28177167921416973	0.25727940901687313	0.24678424808635918	0.270946195603403	0.2489534264077184	0.2653115753397898	0.27714756830063897	0.3130182220202259	0.2573370458479178	0.283481164438249	0.29172296491872846	0.30641916642179456	0.2588994869378692	0.3058884210641153	0.23987084617132373	0.3027456195813464	0.3640897941498419	0.2784698311572402	0.2830804678498148	0.2863038348225283	0.25814098239455374	0.09388406554501671	0.263057524465122	0.01637881055361172	0.288807916877705	0.03676196381952537	0.2697345733750674	0.2723434563711154	NaN	NaN	0.31478783975153013	0.31064383942322077
GENE7	0.30431681911340674	0.26960522454192526	0.25082789002216094	0.28442091502084466	0.2815877454739039	0.2545221267274519	0.2936342657358144	0.291184437748411	0.2581070073704297	0.28333841201305426	0.2743642325148228	0.28170700045817376	0.29649923051555926	0.28227193946742996	0.22937349299475246	0.2796852928306373	0.26905947347680653	0.33223546352717664	0.27352944650354344	0.300347658171738	0.3352485438875736	0.29526924948705313	0.29503425089481977	0.27308679917440365	0.3000890246026941	0.28928004069356267	0.1970120085234735	0.2815051487051228	0.30562932036264373	0.23829154558439186	0.09317532361524639	0.2593395655752151	0.28762809849071375	0.2978955459012763	0.294516991142136	0.2971659671588068	0.15058381073813012	0.27900739963258353	0.2194950460097957	0.28788986608909956	0.2852784909014116	0.16895898670651915	0.2884787116205031	NaN	NaN	0.3328793768315506	0.4089870340086443
GENE8	0.3011559182228836	0.27413257737672125	0.29099754901137315	0.2883642444435157	0.2859963882734188	0.27691936140621787	0.2909795619391085	0.29172398323284005	0.2851155641322659	0.2823785782891565	0.2817962831318396	0.29075902860452607	0.3077469190333511	0.2968771231622229	0.2974675850422508	0.2857805710914305	0.2732794169849157	0.27117467937261897	0.2967495269803782	0.29836962363951447	0.2869534014206499	0.29854072321453046	0.33931421116026034	0.2617381667411771	0.2799310445640369	0.2928071117361097	0.22857826202851247	0.26692260231594517	0.2893720872606513	0.15749395056982998	0.10431500593579508	0.23370179855438278	0.28295270299354547	0.2808645817568811	0.29325886572148985	0.3329955940382336	0.06332347097128124	0.3010156976677989	0.2832610329132069	0.2986038076860146	0.4208768824733747	0.22314652982775815	0.2978729829146229	NaN	NaN	0.24878469304354187	0.3029426752569717
GENE9	0.28590983801641745	0.28251714302564146	0.2838156660618638	0.28386195723241625	0.2788653838226969	0.28426663517505607	0.2876196969697801	0.27962009259913595	0.3173381148219757	0.2811799005253024	0.2672840363802141	0.2922204768734341	0.2913277916589581	0.29104486654201106	0.2782709134435585	0.29305994314090933	0.2863842197480546	0.30686415404728634	0.29901129855051783	0.27692934704505123	0.2707826206303802	0.30719895382282114	0.18872752701681744	0.2616739599411684	0.29194636399891966	0.291782684745315	0.21009720844046081	0.3252220880707088	0.3245590597888751	0.4052552867689636	0.5126510252027412	0.2174330498839975	0.2655484075960179	0.2918288798488758	0.2851499462925783	0.2888624650244242	0.025351194706950877	0.2823651141403313	0.44496956397637266	0.29486319989265847	0.079787487852541	0.192720015959223	0.2979257567540234	NaN	NaN	0.31356999791315543	0.34905781973915556
